method,PSI,RSI,RN,RTR,SI,PFI,PPi,PILSM,PImd,RDPI,RPI,gPi,CEV,CV_t,ESP,RC,PIR,PPF,ESPIID,D_slope,EVS,PR,PQ,ESPI,NRW,APC,RNN
RPI,-0.6772453392991213,-0.9999788472726215,-0.010773537542781212,-0.1627930345008298,0.9944260350696699,0.9999697397140196,0.9998508946896145,0.9998508946896145,0.9998508946896145,1,1,0.9999788472726215,0.9999788472726215,0.9999788472726215,0.9996454189527978,0.9998980275426945,0.9996181115781687,0.9945935751690332,0.9748220682192783,0.9761552101943995,0.9680980003998716,0.9707331974284593,0.9707331974284593,0.9707331974284593,0.9707331974284593,0.9753822583526165,0.9814277656356077
gPi,-0.680102720806394,-0.9999999999999999,-0.015113373097896576,-0.16697328076293133,0.9944673847880688,0.9999561081815862,0.9997561315066625,0.9997561315066625,0.9997561315066625,0.9999788472726215,0.9999788472726215,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9996578189058845,0.9999203652756955,0.9994249179578621,0.9940772611307866,0.9748131479025558,0.9759482768349872,0.9681829329476193,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9753616234638975,0.9815345243317194
CEV,-0.680102720806394,-0.9999999999999999,-0.015113373097896576,-0.16697328076293133,0.9944673847880688,0.9999561081815862,0.9997561315066625,0.9997561315066625,0.9997561315066625,0.9999788472726215,0.9999788472726215,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9996578189058845,0.9999203652756955,0.9994249179578621,0.9940772611307866,0.9748131479025558,0.9759482768349872,0.9681829329476193,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9753616234638975,0.9815345243317194
CV_t,-0.680102720806394,-0.9999999999999999,-0.015113373097896576,-0.16697328076293133,0.9944673847880688,0.9999561081815862,0.9997561315066625,0.9997561315066625,0.9997561315066625,0.9999788472726215,0.9999788472726215,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9996578189058845,0.9999203652756955,0.9994249179578621,0.9940772611307866,0.9748131479025558,0.9759482768349872,0.9681829329476193,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9753616234638975,0.9815345243317194
ESP,-0.6722826651483245,-0.9996578189058845,0.005024905951969973,-0.14688809928759464,0.9914659048658938,0.9994222946995039,0.9991003643698172,0.9991003643698172,0.9991003643698172,0.9996454189527978,0.9996454189527978,0.9996578189058845,0.9996578189058845,0.9996578189058845,1,0.999904723665722,0.9992834128171239,0.9956735615551005,0.9687907590762985,0.9702277405062322,0.9615163296627327,0.9642674222520067,0.9642674222520067,0.9642674222520067,0.9642674222520067,0.9693839594611328,0.9764370542351687
RC,-0.6776278317528527,-0.9999203652756955,-0.006204257565173988,-0.1580989533000195,0.9931588195465801,0.9997787109070696,0.9995098188566744,0.9995098188566744,0.9995098188566744,0.9998980275426945,0.9998980275426945,0.9999203652756955,0.9999203652756955,0.9999203652756955,0.999904723665722,1,0.999408394222104,0.9948423464539528,0.9720824461342149,0.9733493995744726,0.9651818642934509,0.9677867326793562,0.9677867326793562,0.9677867326793562,0.9677867326793562,0.9726425570032915,0.9792811502379046
PIR,-0.6616491319220321,-0.9994249179578621,0.011748018980350675,-0.14059992088502668,0.9930804004323817,0.9995132237975385,0.999692655537951,0.999692655537951,0.999692655537951,0.9996181115781687,0.9996181115781687,0.9994249179578621,0.9994249179578621,0.9994249179578621,0.9992834128171239,0.999408394222104,1,0.996661563552032,0.9729031678082041,0.9750648503119612,0.9655990509892606,0.9687320795801644,0.9687320795801644,0.9687320795801644,0.9687320795801644,0.9735304830059207,0.9792063364430915
PPF,-0.6172143130092501,-0.9940772611307866,0.09241426629933305,-0.061021134403832444,0.9810085573793835,0.993954730482474,0.9944195868945984,0.9944195868945984,0.9944195868945984,0.9945935751690332,0.9945935751690332,0.9940772611307866,0.9940772611307866,0.9940772611307866,0.9956735615551005,0.9948423464539528,0.996661563552032,1,0.9538430426197402,0.9581319144719024,0.944239807609587,0.9487156495786994,0.9487156495786994,0.9487156495786994,0.9487156495786994,0.9547115003777993,0.9615226118710136
ESPIID,-0.7438459007553375,-0.9748131479025558,-0.17741356347120257,-0.3261283584113845,0.9927951976789277,0.9764191263770432,0.9774351696931789,0.9774351696931789,0.9774351696931789,0.9748220682192783,0.9748220682192783,0.9748131479025558,0.9748131479025558,0.9748131479025558,0.9687907590762985,0.9720824461342149,0.9729031678082041,0.9538430426197402,1,0.999449855978856,0.9994505939266607,0.9998396125961689,0.9998396125961689,0.9998396125961689,0.9998396125961689,0.9999728825387794,0.9990721890571498
D_slope,-0.7328531307771354,-0.9759482768349872,-0.15065069649586235,-0.30054748855106883,0.9930244993978921,0.9776357908323838,0.9789766148213757,0.9789766148213757,0.9789766148213757,0.9761552101943995,0.9761552101943995,0.9759482768349872,0.9759482768349872,0.9759482768349872,0.9702277405062322,0.9733493995744726,0.9750648503119612,0.9581319144719024,0.999449855978856,1,0.9983438918420138,0.9992136746507899,0.9992136746507899,0.9992136746507899,0.9992136746507899,0.9994533554687067,0.9984377009664447
EVS,-0.7605032635572775,-0.9681829329476193,-0.20642226150569679,-0.3538635113151414,0.9891111743834644,0.9698800961629311,0.9708406451012713,0.9708406451012713,0.9708406451012713,0.9680980003998716,0.9680980003998716,0.9681829329476193,0.9681829329476193,0.9681829329476193,0.9615163296627327,0.9651818642934509,0.9655990509892606,0.944239807609587,0.9994505939266607,0.9983438918420138,1,0.9997727519091063,0.9997727519091063,0.9997727519091063,0.9997727519091063,0.9992621929068783,0.9980347639105934
PR,-0.7475740902251049,-0.9707146436894014,-0.18902657172150683,-0.3373069982730331,0.9905204844672468,0.9724507751306771,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9707331974284593,0.9707331974284593,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9642674222520067,0.9677867326793562,0.9687320795801644,0.9487156495786994,0.9998396125961689,0.9992136746507899,0.9997727519091063,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9997626988898192,0.9983178850981086
PQ,-0.7475740902251049,-0.9707146436894014,-0.18902657172150683,-0.3373069982730331,0.9905204844672468,0.9724507751306771,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9707331974284593,0.9707331974284593,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9642674222520067,0.9677867326793562,0.9687320795801644,0.9487156495786994,0.9998396125961689,0.9992136746507899,0.9997727519091063,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9997626988898192,0.9983178850981086
ESPI,-0.7475740902251049,-0.9707146436894014,-0.18902657172150683,-0.3373069982730331,0.9905204844672468,0.9724507751306771,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9707331974284593,0.9707331974284593,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9642674222520067,0.9677867326793562,0.9687320795801644,0.9487156495786994,0.9998396125961689,0.9992136746507899,0.9997727519091063,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9997626988898192,0.9983178850981086
NRW,-0.7475740902251049,-0.9707146436894014,-0.18902657172150683,-0.3373069982730331,0.9905204844672468,0.9724507751306771,0.9735724471311497,0.9735724471311497,0.9735724471311497,0.9707331974284593,0.9707331974284593,0.9707146436894014,0.9707146436894014,0.9707146436894014,0.9642674222520067,0.9677867326793562,0.9687320795801644,0.9487156495786994,0.9998396125961689,0.9992136746507899,0.9997727519091063,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9997626988898192,0.9983178850981086
APC,-0.7405268682380718,-0.9753616234638975,-0.17448938932920768,-0.32349886610325396,0.9930399570306897,0.9769707323459557,0.9780054402181547,0.9780054402181547,0.9780054402181547,0.9753822583526165,0.9753822583526165,0.9753616234638975,0.9753616234638975,0.9753616234638975,0.9693839594611328,0.9726425570032915,0.9735304830059207,0.9547115003777993,0.9999728825387794,0.9994533554687067,0.9992621929068783,0.9997626988898192,0.9997626988898192,0.9997626988898192,0.9997626988898192,0.9999999999999999,0.9990445673818666
RNN,-0.7525245089465763,-0.9815345243317194,-0.16383458398552764,-0.31360473486930446,0.9961266120350736,0.9827590003934155,0.9833634459200775,0.9833634459200775,0.9833634459200775,0.9814277656356077,0.9814277656356077,0.9815345243317194,0.9815345243317194,0.9815345243317194,0.9764370542351687,0.9792811502379046,0.9792063364430915,0.9615226118710136,0.9990721890571498,0.9984377009664447,0.9980347639105934,0.9983178850981086,0.9983178850981086,0.9983178850981086,0.9983178850981086,0.9990445673818666,0.9999999999999998
